pmid,title,journal,date,num_authors
36826113,Application of CRISPR/Cas9 Technology in Cancer Treatment: A Future Direction.,"Current oncology (Toronto, Ont.)",2023-Feb-06,21
36672345,"Progresses, Challenges, and Prospects of CRISPR/Cas9 Gene-Editing in Glioma Studies.",Cancers,2023-Jan-06,8
36548694,"Challenges, Recent Advances and Perspectives in the Treatment of Human Cytomegalovirus Infections.",Tropical medicine and infectious disease,2022-Dec-14,3
36454462,Genome Editing and Diabetic Cardiomyopathy.,Advances in experimental medicine and biology,2023-1-1,2
36428562,In Silico Identification of Genes Associated with Breast Cancer Progression and Prognosis and Novel Therapeutic Targets.,Biomedicines,2022-Nov-21,2
36419115,Strategies to enhance CAR-T persistence.,Biomarker research,2022-Nov-23,7
36365126,Construction and Evaluation of a Novel Organic Anion Transporter 1/3 CRISPR/Cas9 Double-Knockout Rat Model.,Pharmaceutics,2022-Oct-27,5
36347937,"The organoid as reliable cancer modeling in personalized medicine, does applicable in precision medicine of head and neck squamous cell carcinoma?",The pharmacogenomics journal,2023-May-1,4
36316529,Integrative insights and clinical applications of single-cell sequencing in cancer immunotherapy.,Cellular and molecular life sciences : CMLS,2022-Oct-31,7
36263098,"""Genetic scissors"" CRISPR/Cas9 genome editing cutting-edge biocarrier technology for bone and cartilage repair.",Bioactive materials,2023-Apr-1,8
36181622,Construction of TSC2 knockout cell line using CRISPR/Cas9 system and demonstration of its effects on NIH-3T3 cells.,Cell biochemistry and biophysics,2022-Dec-1,5
36135925,Fitness effects of CRISPR endonucleases in ,eLife,2022-Sep-22,11
36117219,Targeted inhibition of tumor-derived exosomes as a novel therapeutic option for cancer.,Experimental & molecular medicine,2022-Sep-1,7
36092658,Nanocarriers: A novel strategy for the delivery of CRISPR/Cas systems.,Frontiers in chemistry,2022-1-1,6
35960410,CRISPR/dCas9 for hepatic fibrosis therapy: implications and challenges.,Molecular biology reports,2022-Dec-1,5
35957886,Stabilization of CCDC102B by Loss of RACK1 Through the CMA Pathway Promotes Breast Cancer Metastasis ,Frontiers in oncology,2022-1-1,12
35873469,"Artificial Intelligence, Healthcare, Clinical Genomics, and Pharmacogenomics Approaches in Precision Medicine.",Frontiers in genetics,2022-1-1,26
35586564,A Novel CRISPR/Cas9 Screening Potential Index for Prognostic and Immunological Prediction in Low-Grade Glioma.,Frontiers in genetics,2022-1-1,4
35508982,CRISPR/Cas9 application in cancer therapy: a pioneering genome editing tool.,Cellular & molecular biology letters,2022-May-04,9
35453588,Targeted Osmotic Lysis: A Novel Approach to Targeted Cancer Therapies.,Biomedicines,2022-Apr-02,2
35331236,CRISPR/Cas9 and next generation sequencing in the personalized treatment of Cancer.,Molecular cancer,2022-Mar-24,8
35277177,Genome editing via non-viral delivery platforms: current progress in personalized cancer therapy.,Molecular cancer,2022-Mar-11,5
35185576,Co-Delivery of ,Frontiers in pharmacology,2022-1-1,7
35092559,CRISPR Technology in Cancer Diagnosis and Treatment: Opportunities and Challenges.,Biochemical genetics,2022-Oct-1,7
35053139,TERT Promoter Revertant Mutation Inhibits Melanoma Growth through Intrinsic Apoptosis.,Biology,2022-Jan-14,10
35008996,Targeting Cancer with CRISPR/Cas9-Based Therapy.,International journal of molecular sciences,2022-Jan-05,4
34833427,Peptide-Based Drug Delivery Systems.,"Medicina (Kaunas, Lithuania)",2021-Nov-05,5
34819726,E7-Targeted Nanotherapeutics for Key HPV Afflicted Cervical Lesions by Employing CRISPR/Cas9 and Poly (Beta-Amino Ester).,International journal of nanomedicine,2021-1-1,9
34781949,CRISPR and KRAS: a match yet to be made.,Journal of biomedical science,2021-Nov-15,3
34713317,The potential application of organoids in breast cancer research and treatment.,Human genetics,2022-Feb-1,8
34658640,A review of COVID-19: Treatment strategies and CRISPR/Cas9 gene editing technology approaches to the coronavirus disease.,Saudi journal of biological sciences,2022-Feb-1,7
34590151,CMBs carrying PTX and CRISPR/Cas9 targeting ,Molecular medicine reports,2021-Dec-1,3
34497528,"ACNPD: The Database for Elucidating the Relationships Between Natural Products, Compounds, Molecular Mechanisms, and Cancer Types.",Frontiers in pharmacology,2021-1-1,5
34453645,"Cervical cancer development, chemoresistance, and therapy: a snapshot of involvement of microRNA.",Molecular and cellular biochemistry,2021-Dec-1,2
33919194,"CRISPR-Cas and Its Wide-Ranging Applications: From Human Genome Editing to Environmental Implications, Technical Limitations, Hazards and Bioethical Issues.",Cells,2021-Apr-21,6
33614489,CRISPR-dCas9-Based Artificial Transcription Factors to Improve Efficacy of Cancer Treatment With Drug Repurposing: Proposal for Future Research.,Frontiers in oncology,2020-1-1,3
33419984,Diethyldithiocarbamate-copper complex (CuET) inhibits colorectal cancer progression via miR-16-5p and 15b-5p/ALDH1A3/PKM2 axis-mediated aerobic glycolysis pathway.,Oncogenesis,2021-Jan-08,12
33339441,Various Aspects of a Gene Editing System-CRISPR-Cas9.,International journal of molecular sciences,2020-Dec-16,6
33089409,CRISPR-Cas9: A Promising Genome Editing Therapeutic Tool for Alzheimer's Disease-A Narrative Review.,Neurology and therapy,2020-Dec-1,7
33005303,"CRISPR-Cas systems: Overview, innovations and applications in human disease research and gene therapy.",Computational and structural biotechnology journal,2020-1-1,2
32825283,Novel Antiviral Strategies in the Treatment of COVID-19: A Review.,Microorganisms,2020-Aug-20,3
32611259,Acylation of the antimicrobial peptide CAMEL for cancer gene therapy.,Drug delivery,2020-Dec-1,7
32526919,Oncolytic Adenoviruses: Strategies for Improved Targeting and Specificity.,Cancers,2020-Jun-09,3
32117392,"Principles, Applications, and Biosafety of Plant Genome Editing Using CRISPR-Cas9.",Frontiers in plant science,2020-1-1,3
32053763,Recent highlights and advances in cardiac gene therapy.,Discovery medicine,2019-1-1,2
31963842,CRISPR/Cas9-Mediated TERT Disruption in Cancer Cells.,International journal of molecular sciences,2020-Jan-19,10
31658261,Prediction of off-target specificity and cell-specific fitness of CRISPR-Cas System using attention boosted deep learning and network-based gene feature.,PLoS computational biology,2019-Oct-1,3
30903574,Exosomal packaging of trans-activation response element (TAR) RNA by HIV-1 infected cells: a pro-malignancy message delivery to cancer cells.,Molecular biology reports,2019-Jun-1,1
39557706,"Non-coding RNA notations, regulations and interactive resources.",Functional & integrative genomics,2024-Nov-18,18
39495440,"OsPIPK-FAB, A Negative Regulator in Rice Immunity Unveiled by OsMBL1 Inhibition.","Rice (New York, N.Y.)",2024-Nov-04,9
39420406,Targeting mRNA-coding genes in prostate cancer using CRISPR/Cas9 technology with a special focus on androgen receptor signaling.,Cell communication and signaling : CCS,2024-Oct-17,4
39407109,The role and mechanism of NRG1/ErbB4 in inducing the differentiation of induced pluripotent stem cells into cardiomyocytes.,BMC cardiovascular disorders,2024-Oct-16,6
39403370,Mechanistic studies of tumor-associated macrophage immunotherapy.,Frontiers in immunology,2024-1-1,2
39365861,Purkinje cell hyperexcitability and depressive-like behavior in mice lacking erg3 (ether-à-go-go-related gene) K,Science advances,2024-Oct-04,7
39336807,Ethical Aspects of Human Genome Research in Sports-A Narrative Review.,Genes,2024-Sep-18,1
39328406,"Advancements, challenges, and future perspectives in developing feline herpesvirus 1 as a vaccine vector.",Frontiers in immunology,2024-1-1,8
39263032,Research into overcoming drug resistance in lung cancer treatment using CRISPR-Cas9 technology: a narrative review.,Translational lung cancer research,2024-Aug-31,5
39163294,A statistical simulation model to guide the choices of analytical methods in arrayed CRISPR screen experiments.,PloS one,2024-1-1,7
39118728,"Revolutionary breakthrough: FDA approves CASGEVY, the first CRISPR/Cas9 gene therapy for sickle cell disease.",Annals of medicine and surgery (2012),2024-Aug-1,6
39104588,Next generation plant biostimulants & genome sequencing strategies for sustainable agriculture development.,Frontiers in microbiology,2024-1-1,10
39076655,Novel Approaches to Program Cells to Differentiate into Cardiomyocytes in Myocardial Regeneration.,Reviews in cardiovascular medicine,2022-Dec-1,6
39055914,Development of the CRISPR-Cas12a system for editing of ,iScience,2024-Jul-19,14
39039706,Hypomethylation-associated Sox11 upregulation promotes oncogenesis via the PI3K/AKT pathway in OLP-associated OSCC.,Journal of cellular and molecular medicine,2024-Jul-1,6
38950083,Modeling normal mouse uterine contraction and placental perfusion with non-invasive longitudinal dynamic contrast enhancement MRI.,PloS one,2024-1-1,9
38498133,The role of cardiac microenvironment in cardiovascular diseases: implications for therapy.,Human cell,2024-May-1,5
38440123,Factors affecting the cleavage efficiency of the CRISPR-Cas9 system.,Animal cells and systems,2024-1-1,4
38390557,Gesicles packaging dCas9-VPR ribonucleoprotein complexes can combine with vorinostat and promote HIV proviral transcription.,Molecular therapy. Methods & clinical development,2024-Mar-14,3
38352563,Modeling Normal Mouse Uterine Contraction and Placental Perfusion with Non-invasive Longitudinal Dynamic Contrast Enhancement MRI.,bioRxiv : the preprint server for biology,2024-Feb-04,8
38312645,Nanoparticle-based T cell immunoimaging and immunomodulatory for diagnosing and treating transplant rejection.,Heliyon,2024-Jan-30,9
38279106,Methyl β-Cyclodextrin-sperm-mediated gene editing (MBCD-SMGE): a simple and efficient method for targeted mutant mouse production.,Biological procedures online,2024-Jan-26,4
38261961,Strategies for single base gene editing in an immortalized human cell line by CRISPR/Cas9 technology.,3 Biotech,2024-Feb-1,16
38259503,Exploring the memory: existing activity-dependent tools to tag and manipulate engram cells.,Frontiers in cellular neuroscience,2023-1-1,9
38075036,CRISPR/Cas9-mediated gene mutation of ,Frontiers in endocrinology,2023-1-1,8
38072662,The Interplay Between HIF-1α and EZH2 in Lung Cancer and Dual-Targeted Drug Therapy.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024-Feb-1,19
37903929,A practical approach for adoption of a hub and spoke model for cell and gene therapies in low- and middle-income countries: framework and case studies.,Gene therapy,2024-Jan-1,10
37868976,Efficient and stable CRISPR/Cas9-mediated genome-editing of human type 2 innate lymphoid cells.,Frontiers in immunology,2023-1-1,3
37686249,CRISPR/Cas-Based Techniques for Live-Cell Imaging and Bioanalysis.,International journal of molecular sciences,2023-Aug-30,11
37637117,"Characterization, complete genome sequencing, and CRISPR/Cas9 system-based decontamination of a novel ",Frontiers in microbiology,2023-1-1,8
37508466,Recent Developments in CRISPR/Cas9 Genome-Editing Technology Related to Plant Disease Resistance and Abiotic Stress Tolerance.,Biology,2023-Jul-22,5
37370394,CRISPR-Cas9 System: A Prospective Pathway toward Combatting Antibiotic Resistance.,"Antibiotics (Basel, Switzerland)",2023-Jun-19,4
37288976,Putting CRISPR-Cas system in action: a golden window for efficient and precise genome editing for crop improvement.,GM crops & food,2023-Dec-31,12
37223415,Mass spectrometry-based assays for assessing replicative bypass and repair of DNA alkylation in cells.,RSC advances,2023-May-22,4
37048110,Gene Suppression Therapies in Hereditary Cerebellar Ataxias: A Systematic Review of Animal Studies.,Cells,2023-Mar-29,4
36727449,The impact of nucleosome structure on CRISPR/Cas9 fidelity.,Nucleic acids research,2023-Mar-21,4
36613762,Polθ Inhibition: An Anticancer Therapy for HR-Deficient Tumours.,International journal of molecular sciences,2022-Dec-24,5
36454457,Online Databases of Genome Editing in Cardiovascular and Metabolic Diseases.,Advances in experimental medicine and biology,2023-1-1,9
36320315,Delivery strategies for CRISPR/Cas genome editing tool for retinal dystrophies: challenges and opportunities.,Asian journal of pharmaceutical sciences,2022-Mar-1,7
36164603,,PeerJ,2022-1-1,9
35553404,Melanocyte stem cells in skin diseases and their potential in cell-based therapy.,Histology and histopathology,2022-Oct-1,3
35453761,CRISPR/Cas9 Mediated Disruption of Seminal Fluid Protein Sfp62 Induces Male Sterility in ,Biology,2022-Apr-07,5
34884879,Exploration of the Effect on Genome-Wide DNA Methylation by ,International journal of molecular sciences,2021-Dec-03,7
34769055,Clustered Regularly Interspaced Short Palindromic Repeat Analysis of Clonal Complex 17 Serotype III Group B ,International journal of molecular sciences,2021-Oct-27,9
34745851,CRISPR-Cas9: A method for establishing rat models of drug metabolism and pharmacokinetics.,Acta pharmaceutica Sinica. B,2021-Oct-1,6
34631795,RNA Therapeutics - Research and Clinical Advancements.,Frontiers in molecular biosciences,2021-1-1,5
34494921,Single-cell heterogeneity analysis and CRISPR screens in MIN6 cell line reveal transcriptional regulators of insulin.,"Cell cycle (Georgetown, Tex.)",2021-Oct-1,8
34378174,Consensus Paper: Strengths and Weaknesses of Animal Models of Spinocerebellar Ataxias and Their Clinical Implications.,"Cerebellum (London, England)",2022-Jun-1,10
34162685,Applying CRISPR Screen in Diabetes Research.,Diabetes,2021-Sep-1,2
34091053,New approaches to moderate CRISPR-Cas9 activity: Addressing issues of cellular uptake and endosomal escape.,Molecular therapy : the journal of the American Society of Gene Therapy,2022-Jan-05,6
34066014,New Insights into the Therapeutic Applications of CRISPR/Cas9 Genome Editing in Breast Cancer.,Genes,2021-May-12,4
33973075,TAK1 signaling is a potential therapeutic target for pathological angiogenesis.,Angiogenesis,2021-Aug-1,6
33867826,Generation of VEGF knock-in Cashmere goat via the CRISPR/Cas9 system.,International journal of biological sciences,2021-1-1,9
33800736,The Importance of ,Cells,2021-Mar-06,2
33648977,Hyperuricemia causes kidney damage by promoting autophagy and NLRP3-mediated inflammation in rats with urate oxidase deficiency.,Disease models & mechanisms,2021-Mar-24,6
33557381,Updates in ,"Journal of fungi (Basel, Switzerland)",2021-Feb-04,6
33318646,Gene editing and RNAi approaches for COVID-19 diagnostics and therapeutics.,Gene therapy,2021-Jun-1,10
33270859,HK022 bacteriophage Integrase mediated RMCE as a potential tool for human gene therapy.,Nucleic acids research,2020-Dec-16,12
33062407,Engineering of HN3 increases the tumor targeting specificity of exosomes and upgrade the anti-tumor effect of sorafenib on HuH-7 cells.,PeerJ,2020-1-1,6
32826220,A CRISPRi-dCas9 System for Archaea and Its Use To Examine Gene Function during Nitrogen Fixation by Methanosarcina acetivorans.,Applied and environmental microbiology,2020-Oct-15,2
32821546,Spermatogenesis is normal in ,PeerJ,2020-1-1,7
32733872,Generation of Gene-Knockout Mongolian Gerbils via CRISPR/Cas9 System.,Frontiers in bioengineering and biotechnology,2020-1-1,11
32585821,"Good Cop, Bad Cop: Defining the Roles of Δ40p53 in Cancer and Aging.",Cancers,2020-Jun-23,6
32425949,Nanoparticle-Based Immunoengineered Approaches for Combating HIV.,Frontiers in immunology,2020-1-1,3
32388608,Chimeric antigen receptor therapy in hematological malignancies: antigenic targets and their clinical research progress.,Annals of hematology,2020-Aug-1,7
31420817,"Human germline genome editing is illegal in Canada, but could it be desirable for some members of the rare disease community?",Journal of community genetics,2020-Apr-1,2
31183570,Preclinical septic shock research: why we need an animal ICU.,Annals of intensive care,2019-Jun-10,12
31124015,CRISPR-mediated gene editing to rescue haploinsufficient obesity syndrome.,Protein & cell,2019-Oct-1,4
31054324,CRISPR-Cas9: A multifaceted therapeutic strategy for cancer treatment.,Seminars in cell & developmental biology,2019-Dec-1,3
31016280,"The first genetically gene-edited babies: It's ""irresponsible and too early"".",Animal models and experimental medicine,2019-Mar-1,3
30197654,The Enhancement of Plant Disease Resistance Using CRISPR/Cas9 Technology.,Frontiers in plant science,2018-1-1,5
29893931,A novel λ integrase-mediated seamless vector transgenesis platform for therapeutic protein expression.,Nucleic acids research,2018-Sep-19,8
29793503,Abnormalities of hair structure and skin histology derived from CRISPR/Cas9-based knockout of phospholipase C-delta 1 in mice.,Journal of translational medicine,2018-May-25,11
29463318,New and emerging uses of CRISPR/Cas9 to genetically manipulate apicomplexan parasites.,Parasitology,2018-Aug-1,2
29259526,Science and Bioethics of CRISPR-Cas9 Gene Editing: An Analysis Towards Separating Facts and Fiction.,The Yale journal of biology and medicine,2017-Dec-1,2
28825696,A simple method based on Sanger sequencing and MS Word wildcard searching to identify Cas9-induced frameshift mutations.,Laboratory investigation; a journal of technical methods and pathology,2017-Dec-1,9
28657358,Adeno-Associated Virus (AAV) gene therapy for cystic fibrosis: current barriers and recent developments.,Expert opinion on biological therapy,2017-Oct-1,2
28344971,How to Train a Cell-Cutting-Edge Molecular Tools.,Frontiers in chemistry,2017-1-1,6
28038787,Using the CRISPR/Cas9 system to understand neuropeptide biology and regulation.,Neuropeptides,2017-Aug-1,4
27917188,CRISPR-Cas9: Tool for Qualitative and Quantitative Plant Genome Editing.,Frontiers in plant science,2016-1-1,3
27223305,The MYC 3' Wnt-Responsive Element Drives Oncogenic MYC Expression in Human Colorectal Cancer Cells.,Cancers,2016-May-23,5
27162364,PML plays both inimical and beneficial roles in HSV-1 replication.,Proceedings of the National Academy of Sciences of the United States of America,2016-May-24,3
26730810,TALENs Facilitate Single-step Seamless SDF Correction of F508del CFTR in Airway Epithelial Submucosal Gland Cell-derived CF-iPSCs.,Molecular therapy. Nucleic acids,2016-Jan-05,26
26644995,Nutritional Control of Insect Reproduction.,Current opinion in insect science,2015-Oct-01,2
26537785,Preliminary Characterization of a Leptin Receptor Knockout Rat Created by CRISPR/Cas9 System.,Scientific reports,2015-Nov-05,8
26514729,Linking DNA polymerase theta structure and function in health and disease.,Cellular and molecular life sciences : CMLS,2016-Feb-1,2
26500616,"Human microbiomes and their roles in dysbiosis, common diseases, and novel therapeutic approaches.",Frontiers in microbiology,2015-1-1,2
26467477,Harnessing Type I and Type III CRISPR-Cas systems for genome editing.,Nucleic acids research,2016-Feb-29,9
39554814,"ERA-CRISPR/Cas12a-based, fast and specific diagnostic detection for ",Frontiers in cellular and infection microbiology,2024-1-1,10
39525369,Integrating Genomic Data with the Development of CRISPR-Based Point-of-Care-Testing for Bacterial Infections.,Current clinical microbiology reports,2024-1-1,3
39495809,A Foxf1-Wnt-Nr2f1 cascade promotes atrial cardiomyocyte differentiation in zebrafish.,PLoS genetics,2024-Nov-1,4
39455854,"Leveraging CRISPR gene editing technology to optimize the efficacy, safety and accessibility of CAR T-cell therapy.",Leukemia,2024-Dec-1,13
39403159,Next-generation CRISPR/Cas-based ultrasensitive diagnostic tools: current progress and prospects.,RSC advances,2024-Oct-09,8
39397905,Strategies for improving the genome-editing efficiency of class 2 CRISPR/Cas system.,Heliyon,2024-Oct-15,2
39360804,A rapid visualization method for detecting rotavirus A by combining nuclear acid sequence-based amplification with the CRISPR-Cas12a assay.,Journal of medical microbiology,2024-Oct-1,5
39346871,One-Tube Nested PCR Coupled with CRISPR-Cas12a for Ultrasensitive Nucleic Acid Testing.,ACS omega,2024-Sep-24,3
39258178,Therapeutic Gene Editing for Hemoglobinopathies.,Mediterranean journal of hematology and infectious diseases,2024-1-1,3
39212838,Mycobacterium tuberculosis Detection Using CRISPR Technology: An Updated Systematic Review and Meta-analysis.,Molecular diagnosis & therapy,2024-Nov-1,4
39210187,"CRISPR/Cas12a ribonucleoprotein mediated editing of tryptophan 2,3-dioxygenase of Spodoptera frugiperda.",Transgenic research,2024-Oct-1,11
39208796,Structural insights into the diversity and DNA cleavage mechanism of Fanzor.,Cell,2024-Sep-19,11
39194596,CRISPR-Based Biosensors for Medical Diagnosis: Readout from Detector-Dependence Detection Toward Naked Eye Detection.,Biosensors,2024-Jul-28,7
39189452,CRISPR-Cas target recognition for sensing viral and cancer biomarkers.,Nucleic acids research,2024-Sep-23,5
39138524,An optimised CRISPR Cas9 and Cas12a mutagenesis toolkit for Barley and Wheat.,Plant methods,2024-Aug-13,7
39019776,CRISPR-Cas12a exhibits metal-dependent specificity switching.,Nucleic acids research,2024-Sep-09,6
38912057,Progress and pitfalls of gene editing technology in CAR-T cell therapy: a state-of-the-art review.,Frontiers in oncology,2024-1-1,5
38877537,Development of a CRISPR/Cas12a-based fluorescent detection method of Senecavirus A.,BMC veterinary research,2024-Jun-14,10
38701041,CRISPR/Cas9-generated mutations in a sugar transporter gene reduce cassava susceptibility to bacterial blight.,Plant physiology,2024-Jul-31,10
38646010,A synthetic biology approach for the treatment of pollutants with microalgae.,Frontiers in bioengineering and biotechnology,2024-1-1,5
38570576,RPA-CRISPR/Cas12a assay for the diagnosis of bovine Anaplasma marginale infection.,Scientific reports,2024-Apr-03,8
38558972,A Foxf1-Wnt-Nr2f1 cascade promotes atrial cardiomyocyte differentiation in zebrafish.,bioRxiv : the preprint server for biology,2024-Mar-19,3
38527001,Clinical validation of RCSMS: A rapid and sensitive CRISPR-Cas12a test for the molecular detection of SARS-CoV-2 from saliva.,PloS one,2024-1-1,11
38473859,Recent Advances in Tomato Gene Editing.,International journal of molecular sciences,2024-Feb-23,3
38459454,A multiplex RPA-CRISPR/Cas12a-based POCT technique and its application in human papillomavirus (HPV) typing assay.,Cellular & molecular biology letters,2024-Mar-08,9
38455618,Designing hybrid CRISPR-Cas12 and LAMP detection systems for treatment-resistant ,Narra J,2023-Dec-1,4
38454604,Autologous gene therapy for hemoglobinopathies: From bench to patient's bedside.,Molecular therapy : the journal of the American Society of Gene Therapy,2024-May-01,6
38380103,Combination of nucleic acid amplification and CRISPR/Cas technology in pathogen detection.,Frontiers in microbiology,2024-1-1,3
38333695,No country for old methods: New tools for studying microproteins.,iScience,2024-Feb-16,2
