pmid,title,journal,date,num_authors
39058096,Levels of Potentially Toxic and Essential Elements in Water and Estimation of Human Health Risks in a River Located at the Interface of Brazilian Savanna and Amazon Biomes (Tocantins River).,Toxics,2024-Jun-21,5
38222549,,ACS omega,2024-Jan-09,8
37674490,Phytoremediative adsorption methodologies to decontaminate water from dyes and organic pollutants.,RSC advances,2023-Sep-04,6
37464012,Distance and weightage-based identification of most critical and vulnerable locations of surface water pollution in Kabul river tributaries.,Scientific reports,2023-Jul-18,5
37299216,Hydrogel Applicability for the Industrial Effluent Treatment: A Systematic Review and Bibliometric Analysis.,Polymers,2023-May-23,3
37229158,Exploring innovation for sustainable agriculture: A systematic case study of permaculture in Nepal.,Heliyon,2023-May-1,5
36351942,"Mobile resistome of microbial communities and antimicrobial residues from drinking water supply systems in Rio de Janeiro, Brazil.",Scientific reports,2022-Nov-09,15
36339166,Green effects of research and development on industrial waste reduction during the production phase: Evidence from China and policy implications.,Frontiers in public health,2022-1-1,1
36307472,Copper sulfide and zinc oxide hybrid nanocomposite for wastewater decontamination of pharmaceuticals and pesticides.,Scientific reports,2022-Oct-28,4
36092591,Green Synthesis of a CuO-ZnO Nanocomposite for Efficient Photodegradation of Methylene Blue and Reduction of 4-Nitrophenol.,ACS omega,2022-Sep-06,6
35712023,Surface Functionalized MXenes for Wastewater Treatment-A Comprehensive Review.,"Global challenges (Hoboken, NJ)",2022-Jun-1,12
35211097,One Health Paradigm to Confront Zoonotic Health Threats: A Pakistan Prospective.,Frontiers in microbiology,2021-1-1,10
39040872,Rebuilding Caribbean Environmental Health Post-Crisis Programs: A Preliminary Study for Virtual Mentorship.,Journal of environmental health,2024-Jan-1,14
38803936,A regulatory framework for bottled water quality monitoring: A case of Emfuleni local municipality.,Heliyon,2024-May-30,3
34936391,Addressing Gaps in Public Health Education to Advance Environmental Justice: Time for Action.,American journal of public health,2022-Jan-1,5
34539765,Advancing environmental public health in Latin America and the Caribbean.,Revista panamericana de salud publica = Pan American journal of public health,2021-1-1,2
34140748,Exploring the Benefits and Value of Public Health Department Internships for Environmental Health Students.,Journal of environmental health,2020-Nov-1,3
33642861,Environmental Health Services and Professionals Level of Engagement in Different Sectors in Eastern Ethiopia: A Mixed Methods Study Design.,Environmental health insights,2021-1-1,3
33460218,Public health challenges facing Environmental Health Officers during COVID-19: methamphetamine contamination of properties.,Australian and New Zealand journal of public health,2021-Feb-1,5
32903073,Public Health Integration Into Public Safety in Post-Katrina New Orleans.,American journal of public health,2020-Oct-1,3
32660683,Environmental Health Workforce - Essential for Interdisciplinary Solutions to the COVID-19 Pandemic.,Disaster medicine and public health preparedness,2021-Apr-1,4
31944847,Identifying Needs for Advancing the Profession and Workforce in Environmental Health.,American journal of public health,2020-Mar-1,25
33072249,COVID-19 in pastoral contexts in the greater Horn of Africa: Implications and recommendations.,"Pastoralism : research, policy and practice",2020-1-1,4
36231779,The Effect of Physical Activity Interventions Carried Out in Outdoor Natural Blue and Green Spaces on Health Outcomes: A Systematic Review.,International journal of environmental research and public health,2022-Sep-30,5
35954607,"Physical Activity Behavior, Motivation and Active Commuting: Relationships with the Use of Green Spaces in Italy.",International journal of environmental research and public health,2022-Jul-28,8
35597934,The ENJOY MAP for HEALTH: Exercise interveNtion outdoor proJect in the cOmmunitY for older people-More Active People for HEALTHier communities: a study protocol.,BMC public health,2022-May-21,8
35449096,Park access and mental health among parents and children during the COVID-19 pandemic.,BMC public health,2022-Apr-21,6
35010326,Nature-Based Citizen Science as a Mechanism to Improve Human Health in Urban Areas.,International journal of environmental research and public health,2021-Dec-22,5
34542463,Impact of Different Types of Physical Activity in Green Urban Space on Adult Health and Behaviors: A Systematic Review.,"European journal of investigation in health, psychology and education",2021-Mar-04,8
34198664,Attitudes towards Green Urban Space: A Case Study of Two Italian Regions.,International journal of environmental research and public health,2021-Jun-14,10
33692438,Using mobile phone data to examine weather impacts on recreational ecosystem services in an urban protected area.,Scientific reports,2021-Mar-10,2
33453532,Changes in human-nature relations during pandemic outbreaks: a big data analysis.,The Science of the total environment,2021-May-10,1
31993007,"Minimum Time Dose in Nature to Positively Impact the Mental Health of College-Aged Students, and How to Measure It: A Scoping Review.",Frontiers in psychology,2019-1-1,6
31502180,"Structural Characteristics of Tree Cover and the Association with Cardiovascular and Respiratory Health in Tampa, FL.",Journal of urban health : bulletin of the New York Academy of Medicine,2019-Oct-1,8
30360440,Impacts of Individual Daily Greenspace Exposure on Health Based on Individual Activity Space and Structural Equation Modeling.,International journal of environmental research and public health,2018-Oct-22,5
29426730,The relationship between surrounding greenness in childhood and adolescence and depressive symptoms in adolescence and early adulthood.,Annals of epidemiology,2018-Apr-1,8
28796634,Nature Contact and Human Health: A Research Agenda.,Environmental health perspectives,2017-Jul-31,11
27346385,Urban and Transport Planning Related Exposures and Mortality: A Health Impact Assessment for Cities.,Environmental health perspectives,2017-Jan-1,14
27054887,Public Parks and Wellbeing in Urban Areas of the United States.,PloS one,2016-1-1,3
26861365,"Advancing Sustainability through Urban Green Space: Cultural Ecosystem Services, Equity, and Social Determinants of Health.",International journal of environmental research and public health,2016-Feb-05,3
25793104,Speeding the growth of primary mental health prevention.,Israel journal of health policy research,2015-1-1,1
35963945,A state-of-the-science review and guide for measuring environmental exposure biomarkers in dried blood spots.,Journal of exposure science & environmental epidemiology,2023-Jul-1,10
35736648,The Role of Exposomes in the Pathophysiology of Autoimmune Diseases II: Pathogens.,Pathophysiology : the official journal of the International Society for Pathophysiology,2022-Jun-03,4
34121762,Identifying organic compounds in exhaled breath aerosol: Non-invasive sampling from respirator surfaces and disposable hospital masks.,Journal of aerosol science,2019-Nov-01,3
34070145,Occupational Exposures and Environmental Health Hazards of Military Personnel.,International journal of environmental research and public health,2021-May-18,8
31835168,Therapeutic significance of β-glucuronidase activity and its inhibitors: A review.,European journal of medicinal chemistry,2020-Feb-01,6
31349234,Detecting opioid metabolites in exhaled breath condensate (EBC).,Journal of breath research,2019-Oct-03,7
31128883,Recovery and reactivity of polycyclic aromatic hydrocarbons collected on selected sorbent tubes and analyzed by thermal desorption-gas chromatography/mass spectrometry.,Journal of chromatography. A,2019-Sep-27,4
30067478,"Human biomarker interpretation: the importance of intra-class correlation coefficients (ICC) and their calculations based on mixed models, ANOVA, and variance estimates.","Journal of toxicology and environmental health. Part B, Critical reviews",2018-1-1,4
29776545,"Evolution of clinical and environmental health applications of exhaled breath research: Review of methods and instrumentation for gas-phase, condensate, and aerosols.",Analytica chimica acta,2018-Sep-18,2
29595373,Persistent organic pollutants and haematological markers in Greenlandic pregnant women: the ACCEPT sub-study.,International journal of circumpolar health,2018-Dec-1,4
28696913,Linking physiological parameters to perturbations in the human exposome: Environmental exposures modify blood pressure and lung function via inflammatory cytokine pathway.,Journal of toxicology and environmental health. Part A,2017-1-1,5
28379072,"Biomarkers of mercury toxicity: Past, present, and future trends.","Journal of toxicology and environmental health. Part B, Critical reviews",2017-1-1,6
39449446,Measuring Nurses' Knowledge and Awareness of Climate Change and Climate-Associated Diseases: Systematic Review of Existing Instruments.,"Nursing reports (Pavia, Italy)",2024-Oct-08,5
36674220,Public Perceptions of Climate Change and Health-A Cross-Sectional Survey Study.,International journal of environmental research and public health,2023-Jan-13,3
32961741,Parents' Perspectives on the Health Education Provided by Clinicians in Portuguese Pediatric Hospitals and Primary Care for Children Aged 1 to 10 Years.,International journal of environmental research and public health,2020-Sep-19,4
39487460,Examining select sociodemographic characteristics of sub-county geographies for public health surveillance.,Population health metrics,2024-Nov-01,2
39377051,Satellite data for environmental justice: a scoping review of the literature in the United States.,Environmental research letters : ERL [Web site],2024-1-1,15
39146265,Place-based estimates of cigarette butt litter raise environmental justice concerns in the United States.,PloS one,2024-1-1,4
39117222,Robust identification of environmental exposures and community characteristics predictive of rapid lung disease progression.,The Science of the total environment,2024-Nov-10,10
38948086,The Impact of Air Pollution Controls on Health and Health Inequity Among Middle-Aged and Older Chinese: Evidence From Panel Data.,International journal of public health,2024-1-1,9
38830524,Evaluating associations of bisphenol and phthalate exposure with time to pregnancy and subfecundity in a New York City pregnancy cohort.,"Environmental pollution (Barking, Essex : 1987)",2024-Sep-01,8
38668518,Critical Environmental Injustice: A Case Study Approach to Understanding Disproportionate Exposure to Toxic Emissions.,Toxics,2024-Apr-17,1
38455887,Agreement in extreme precipitation exposure assessment is modified by race and social vulnerability.,Frontiers in epidemiology,2023-1-1,5
38442312,Association between neighborhood poverty and ovarian reserve: the ovarian aging study.,"Menopause (New York, N.Y.)",2024-May-01,4
38388186,"Differences in Serum miRNA Profiles by Race, Ethnicity, and Socioeconomic Status: Implications for Developing an Equitable Ovarian Cancer Screening Test.","Cancer prevention research (Philadelphia, Pa.)",2024-Apr-02,16
38349877,Measuring long-term exposure to wildfire PM,Proceedings of the National Academy of Sciences of the United States of America,2024-Feb-20,14
38156899,Ambient Air Pollution and Morbidities in Bronchopulmonary Dysplasia; It's All about the Money.,Annals of the American Thoracic Society,2024-Jan-1,1
38019829,Cohort profile: Genetic data in the German Socio-Economic Panel Innovation Sample (SOEP-G).,PloS one,2023-1-1,16
37966215,"Potential Policy and Community Implications of Equitable Organic Waste, Compost, and Urban Agricultural Systems in the United States.",Environmental health perspectives,2023-Nov-1,3
37791816,Beyond Residence: A Mobility-based Approach for Improved Evaluation of Human Exposure to Environmental Hazards.,Environmental science & technology,2023-Oct-17,3
37783658,Change in Neighborhood Socioeconomic Status and Adherence to the Cancer Prevention Lifestyle Guidelines in Hispanic/Latino Adults: Results from the HCHS/SOL Study.,Cancer research communications,2023-Oct-02,13
37581863,Methods in Public Health Environmental Justice Research: a Scoping Review from 2018 to 2021.,Current environmental health reports,2023-Sep-1,9
37273498,The impact of ethnic segregation on neighbourhood-level social distancing in the United States amid the early outbreak of COVID-19.,"Urban studies (Edinburgh, Scotland)",2023-Jun-1,4
37246316,Traveling Together: A Road Map for Researching Neighborhood Effects on Population Health and Health Inequities.,American journal of epidemiology,2023-Oct-10,4
37205759,Pathways for diversifying and enhancing science advocacy.,Science advances,2023-May-19,8
37187677,"Assessing socioeconomic bias of exposure to urban air pollution: an autopsy-based study in São Paulo, Brazil.",Lancet regional health. Americas,2023-Jun-1,11
36774420,Exposure to infection when accessing groceries reveals racial and socioeconomic inequities in navigating the pandemic.,Scientific reports,2023-Feb-11,3
36635734,A science-based agenda for health-protective chemical assessments and decisions: overview and consensus statement.,Environmental health : a global access science source,2023-Jan-12,48
36633989,Family- and neighborhood-level environmental associations with physical health conditions in 9- and 10-year-olds.,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",2023-Dec-1,13
36623927,"Environmental Justice: Where It Has Been, and Where It Might Be Going.",Annual review of public health,2023-Apr-03,1
36448792,Impact of Hurricanes and Associated Extreme Weather Events on Cardiovascular Health: A Scoping Review.,Environmental health perspectives,2022-Nov-1,8
36430084,Closing the Knowledge Gap in the Long-Term Health Effects of Natural Disasters: A Research Agenda for Improving Environmental Justice in the Age of Climate Change.,International journal of environmental research and public health,2022-Nov-21,3
36429700,Pathways to Environmental Inequality: How Urban Traffic Noise Annoyance Varies across Socioeconomic Subgroups.,International journal of environmental research and public health,2022-Nov-14,6
36293807,Environmental Stressors and the PINE Network: Can Physical Environmental Stressors Drive Long-Term Physical and Mental Health Risks?,International journal of environmental research and public health,2022-Oct-14,6
36279443,Location-specific strategies for eliminating US national racial-ethnic [Formula: see text] exposure inequality.,Proceedings of the National Academy of Sciences of the United States of America,2022-Nov-1,8
36196073,When Water Quality Crises Drive Change: A Comparative Analysis of the Policy Processes Behind Major Water Contamination Events.,Exposure and health,2022-Sep-29,2
36011694,Classification of Deprivation Indices That Applied to Detect Health Inequality: A Scoping Review.,International journal of environmental research and public health,2022-Aug-15,4
35971517,How well do we know green gentrification? A systematic review of the methods.,Progress in human geography,2022-Aug-1,3
35798884,Exposures and behavioural responses to wildfire smoke.,Nature human behaviour,2022-Oct-1,11
35742642,Exploring Environmental Health Inequalities: A Scientometric Analysis of Global Research Trends (1970-2020).,International journal of environmental research and public health,2022-Jun-16,3
35682206,Environmentally Just Futures: A Collection of Community-Driven African Environmental Education and Improvement Initiatives.,International journal of environmental research and public health,2022-May-29,5
35682169,The Sharing of Costs and Benefits of Rural Environmental Pollution Governance in China: A Qualitative Analysis through Guanxi Networks Perspective.,International journal of environmental research and public health,2022-May-28,4
35674427,Ambient Air Pollution and Socioeconomic Status in China.,Environmental health perspectives,2022-Jun-1,5
35651360,"Structural Racism, Place, and COVID-19: A Narrative Review Describing How We Prepare for an Endemic COVID-19 Future.",Health equity,2022-1-1,5
35577901,"Objectively measured external building quality, Census housing vacancies and age, and serum metals in an adult cohort in Detroit, Michigan.",Journal of exposure science & environmental epidemiology,2023-Mar-1,7
35457365,The Effects of Urban Neighborhood Environmental Evaluation and Health Service Facilities on Residents' Self-Rated Physical and Mental Health: A Comparative and Empirical Survey.,International journal of environmental research and public health,2022-Apr-08,10
35344439,"Legacies of inequality, legacy lead exposures, and improving population well-being.",Proceedings of the National Academy of Sciences of the United States of America,2022-Apr-05,1
35270393,"Environmental Health Literacy as Knowing, Feeling, and Believing: Analyzing Linkages between Race, Ethnicity, and Socioeconomic Status and Willingness to Engage in Protective Behaviors against Health Threats.",International journal of environmental research and public health,2022-Feb-25,5
35153487,Insights into Diversity in the Environmental Health Science Workforce.,Environmental health insights,2022-1-1,2
35053344,Genotoxicity Response of Fibroblast Cells and Human Epithelial Adenocarcinoma In Vitro Model Exposed to Bare and Ozone-Treated Silica Microparticles.,Cells,2022-Jan-11,9
35046439,"Race and ethnic minority, local pollution, and COVID-19 deaths in Texas.",Scientific reports,2022-Jan-19,9
35038334,Association of peripubertal blood lead levels with reproductive hormones and semen parameters in a longitudinal cohort of Russian men.,"Human reproduction (Oxford, England)",2022-Apr-01,11
34993918,Structural Racism as an Environmental Justice Issue: A Multilevel Analysis of the State Racism Index and Environmental Health Risk from Air Toxics.,Journal of racial and ethnic health disparities,2023-Feb-1,1
34908495,"Disparities in Air Pollution Exposure in the United States by Race/Ethnicity and Income, 1990-2010.",Environmental health perspectives,2021-Dec-1,9
34784917,Pervasive structural racism in environmental epidemiology.,Environmental health : a global access science source,2021-Nov-17,8
34668703,Climate Justice and California's Methane Superemitters: Environmental Equity Assessment of Community Proximity and Exposure Intensity.,Environmental science & technology,2021-Nov-02,4
34648580,"Risk of lead exposure, subcortical brain structure, and cognition in a large cohort of 9- to 10-year-old children.",PloS one,2021-1-1,6
34560874,"Developing and implementing core competencies in children's environmental health for students, trainees and healthcare providers: a narrative review.",BMC medical education,2021-Sep-24,4
34501794,Correlates of Levels of Willingness to Engage in Climate Change Actions in the United States.,International journal of environmental research and public health,2021-Aug-31,5
34501598,Relationship between Green and Blue Spaces with Mental and Physical Health: A Systematic Review of Longitudinal Observational Studies.,International journal of environmental research and public health,2021-Aug-26,4
34303349,The future of physician advocacy: a survey of U.S. medical students.,BMC medical education,2021-Jul-24,4
34158491,The widespread and unjust drinking water and clean water crisis in the United States.,Nature communications,2021-Jun-22,2
34124937,Confounding by Socioeconomic Status in Epidemiological Studies of Air Pollution and Health: Challenges and Opportunities.,Environmental health perspectives,2021-Jun-1,5
33809857,Systemic Inflammation (C-Reactive Protein) in Older Chinese Adults Is Associated with Long-Term Exposure to Ambient Air Pollution.,International journal of environmental research and public health,2021-Mar-22,7
33713334,"Breaking Down and Building Up: Gentrification, Its drivers, and Urban Health Inequality.",Current environmental health reports,2021-Jun-1,4
33430882,Inferential challenges when assessing racial/ethnic health disparities in environmental research.,Environmental health : a global access science source,2021-Jan-12,3
33046474,Case-comparison study protocol for gauging effects of neighbourhood trends and sickness: examining the perceptions of transit-Induced gentrification in Prince George's County.,BMJ open,2020-Oct-12,6
32984815,Associations between Amygdala-Prefrontal Functional Connectivity and Age Depend on Neighborhood Socioeconomic Status.,Cerebral cortex communications,2020-1-1,9
32895627,The CHASMS conceptual model of cascading disasters and social vulnerability: The COVID-19 case example.,International journal of disaster risk reduction : IJDRR,2020-Dec-1,3
32655686,Racial/ethnic segregation and health disparities: Future directions and opportunities.,Sociology compass,2020-Jun-1,3
32264725,Influences of environmental exposures on individuals living with cystic fibrosis.,Expert review of respiratory medicine,2020-Jul-1,12
32238404,Environmental Quality and Invasive Breast Cancer.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2020-Oct-1,3
32159046,Health and Environmental Justice Implications of Retiring Two Coal-Fired Power Plants in the Southern Front Range Region of Colorado.,GeoHealth,2019-Sep-1,4
32159035,Characterizing Spatial Variability of Climate-Relevant Hazards and Vulnerabilities in the New England Region of the United States.,GeoHealth,2019-Apr-1,4
32154228,,Frontiers in bioengineering and biotechnology,2020-1-1,6
32113086,"A comprehensive analysis of racial disparities in chemical biomarker concentrations in United States women, 1999-2014.",Environment international,2020-Apr-1,7
32075614,"Using the 12-item short form health survey (SF-12) to assess self rated health of an engaged population impacted by hurricane Harvey, Houston, TX.",BMC public health,2020-Feb-19,3
32053902,HGBEnviroScreen: Enabling Community Action through Data Integration in the Houston-Galveston-Brazoria Region.,International journal of environmental research and public health,2020-Feb-11,6
31877745,Youth Engaged Participatory Air Monitoring: A 'Day in the Life' in Urban Environmental Justice Communities.,International journal of environmental research and public health,2019-Dec-21,5
31817268,Distributional Environmental Injustices for a Minority Group without Minority Status: Arab Americans and Residential Exposure to Carcinogenic Air Pollution in the US.,International journal of environmental research and public health,2019-Dec-04,3
31752166,Links between Cognitive Status and Trace Element Levels in Hair for an Environmentally Exposed Population: A Case Study in the Surroundings of the Estarreja Industrial Area.,International journal of environmental research and public health,2019-Nov-18,13
31708169,"Cancer risk from air toxics in relation to neighborhood isolation and sociodemographic characteristics: A spatial analysis of the St. Louis metropolitan area, USA.",Environmental research,2019-Dec-1,3
31692725,Violence and Asthma: A Review.,Environmental health insights,2008-1-1,1
31671594,"Environmental Tobacco Smoke Exposure in Relation to Family Characteristics, Stressors and Chemical Co-Exposures in California Girls.",International journal of environmental research and public health,2019-Oct-30,6
31574988,"The Color of Health: Residential Segregation, Light Rail Transit Developments, and Gentrification in the United States.",International journal of environmental research and public health,2019-Sep-30,3
31540448,"Assessing the Effects on Health Inequalities of Differential Exposure and Differential Susceptibility of Air Pollution and Environmental Noise in Barcelona, 2007-2014.",International journal of environmental research and public health,2019-Sep-18,2
31480556,"Racialized Structural Vulnerability: Neighborhood Racial Composition, Concentrated Disadvantage, and Fine Particulate Matter in California.",International journal of environmental research and public health,2019-Sep-01,1
31374099,"Racial, ethnic, and income disparities in air pollution: A study of excess emissions in Texas.",PloS one,2019-1-1,3
31341576,Turtles & teamsters revival? Analyzing labor unions' environmental discourse from the 2014 People's Climate March.,Interface : a journal for and about social movements,2018-1-1,1
31271296,Top 10 Research Priorities in Spatial Lifecourse Epidemiology.,Environmental health perspectives,2019-Jul-1,17
30989169,Economic Downturns and Inequities in Birth Outcomes: Evidence From 149 Million US Births.,American journal of epidemiology,2019-Jun-01,4
30844571,The utility of a system dynamics approach for understanding cumulative health risk from exposure to environmental hazards.,Environmental research,2019-May-1,7
30766715,Is in utero exposure to maternal socioeconomic disadvantage related to offspring ovarian reserve in adulthood?,Women's midlife health,2018-1-1,7
30623014,"Unequal residential exposure to air pollution and noise: A geospatial environmental justice analysis for Ghent, Belgium.",SSM - population health,2019-Apr-1,1
30373089,The Strong Heart Water Study: Informing and designing a multi-level intervention to reduce arsenic exposure among private well users in Great Plains Indian Nations.,The Science of the total environment,2019-Feb-10,11
30220936,"Air pollutant strategies to reduce adverse health impacts and health inequalities: a quantitative assessment for Detroit, Michigan.","Air quality, atmosphere, & health",2018-May-1,3
30208934,"Emerging themes in food security: environmental justice, extended families and the multiple roles of grandmothers.",International journal for equity in health,2018-Sep-12,3
30197817,"Examining Joint Effects of Air Pollution Exposure and Social Determinants of Health in Defining ""At-Risk"" Populations Under the Clean Air Act: Susceptibility of Pregnant Women to Hypertensive Disorders of Pregnancy.",World medical & health policy,2018-Mar-1,12
30030682,"Socio-economic inequalities in blood mercury (Hg) and serum polychlorinated biphenyl (PCB) concentrations among pregnant Inuit women from Nunavik, Canada.",Canadian journal of public health = Revue canadienne de sante publique,2018-Dec-1,5
30024382,The Urban Exposome during Pregnancy and Its Socioeconomic Determinants.,Environmental health perspectives,2018-Jul-1,32
29957590,Spatial Modeling to Identify Sociodemographic Predictors of Hydraulic Fracturing Wastewater Injection Wells in Ohio Census Block Groups.,Environmental health perspectives,2018-Jun-1,3
29757939,Heterogeneity in the Relationship between Disinfection By-Products in Drinking Water and Cancer: A Systematic Review.,International journal of environmental research and public health,2018-May-14,5
29659481,Retooling CalEnviroScreen: Cumulative Pollution Burden and Race-Based Environmental Health Vulnerabilities in California.,International journal of environmental research and public health,2018-Apr-16,1
29582168,Underutilized and Under Threat: Environmental Policy as a Tool to Address Diabetes Risk.,Current diabetes reports,2018-Mar-26,5
29466133,"Ethical Dilemmas in Protecting Susceptible Subpopulations From Environmental Health Risks: Liberty, Utility, Fairness, and Accountability for Reasonableness.",The American journal of bioethics : AJOB,2018-Mar-1,3
